utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220413	46	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8408858034	345.7959899	CO	3 - 2	0.103	a20220413_00046_01_0001.sdf
20220413	46	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8408858034	355.7959899	No Line	No Line	0.103	a20220413_00046_02_0001.sdf
20220413	47	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.840877215	345.7959899	CO	3 - 2	0.103	a20220413_00047_01_0001.sdf
20220413	47	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.840877215	355.7959899	No Line	No Line	0.103	a20220413_00047_02_0001.sdf
20220413	48	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8408696501	345.7959899	CO	3 - 2	0.097	a20220413_00048_01_0001.sdf
20220413	48	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8408696501	355.7959899	No Line	No Line	0.097	a20220413_00048_02_0001.sdf
20220413	49	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8408619469	345.7959899	CO	3 - 2	0.097	a20220413_00049_01_0001.sdf
20220413	49	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8408619469	355.7959899	No Line	No Line	0.097	a20220413_00049_02_0001.sdf
20220413	50	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8408542309	345.7959899	CO	3 - 2	0.097	a20220413_00050_01_0001.sdf
20220413	50	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8408542309	355.7959899	No Line	No Line	0.097	a20220413_00050_02_0001.sdf
20220413	51	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	LSB	1	250MHzx8192	350.8289194694	345.7959899	CO	3 - 2	0.09	a20220413_00051_01_0001.sdf
20220413	51	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	LSB	2	1000MHzx2048	350.8289194694	345.7959899	CO	3 - 2	0.09	a20220413_00051_02_0001.sdf
20220413	51	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	USB	3	250MHzx8192	350.8289194694	355.7961233274	No Line	No Line	0.09	a20220413_00051_03_0001.sdf
20220413	51	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	USB	4	1000MHzx2048	350.8289194694	355.7961233274	No Line	No Line	0.09	a20220413_00051_04_0001.sdf
20220413	52	JCMTCAL	16293-2422	16293-2422 HCN(4-3) 354.5055	LSB	1	250MHzx8192	359.539221693	354.5054759	HCN	4 - 3	0.09	a20220413_00052_01_0001.sdf
20220413	52	JCMTCAL	16293-2422	16293-2422 HCN(4-3) 354.5055	LSB	2	1000MHzx2048	359.539221693	354.5054759	HCN	4 - 3	0.09	a20220413_00052_02_0001.sdf
20220413	52	JCMTCAL	16293-2422	16293-2422 HCN(4-3) 354.5055	USB	3	250MHzx8192	359.539221693	364.5056093274	No Line	No Line	0.09	a20220413_00052_03_0001.sdf
20220413	52	JCMTCAL	16293-2422	16293-2422 HCN(4-3) 354.5055	USB	4	1000MHzx2048	359.539221693	364.5056093274	No Line	No Line	0.09	a20220413_00052_04_0001.sdf
20220413	53	JCMTCAL	RAql	Aweoweo Point	LSB	1	1000MHzx2048	350.792012825	345.7959899	CO	3 - 2	0.094	a20220413_00053_01_0001.sdf
20220413	53	JCMTCAL	RAql	Aweoweo Point	USB	2	1000MHzx2048	350.792012825	355.7959899	No Line	No Line	0.094	a20220413_00053_02_0001.sdf
20220413	58	JCMTCAL	RAql	Aweoweo Point	LSB	1	1000MHzx2048	350.7919948526	345.7959899	CO	3 - 2	0.094	a20220413_00058_01_0001.sdf
20220413	58	JCMTCAL	RAql	Aweoweo Point	USB	2	1000MHzx2048	350.7919948526	355.7959899	No Line	No Line	0.094	a20220413_00058_02_0001.sdf
