utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20210530	76	JCMTCAL	CRL2688	a20210530_00076_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210530	76	JCMTCAL	CRL2688	a20210530_00076_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210530	77	JCMTCAL	CRL2688	a20210530_00077_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210530	77	JCMTCAL	CRL2688	a20210530_00077_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210530	78	JCMTCAL	CRL2688	a20210530_00078_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210530	78	JCMTCAL	CRL2688	a20210530_00078_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210530	79	JCMTCAL	CRL2688	a20210530_00079_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210530	79	JCMTCAL	CRL2688	a20210530_00079_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210530	80	JCMTCAL	CRL2688	a20210530_00080_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210530	80	JCMTCAL	CRL2688	a20210530_00080_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210530	82	JCMTCAL	HD235858	a20210530_00082_01_0001.sdf	Aweoweo 5GHz Point (1X)_done_20210530T060428	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210530	82	JCMTCAL	HD235858	a20210530_00082_02_0001.sdf	Aweoweo 5GHz Point (1X)_done_20210530T060428	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210530	83	JCMTCAL	N7538IRS1	a20210530_00083_01_0001.sdf	N7538IRS1 HCO+(4-3) 356.73425 USB 5GHz	USB	1	250MHzx8192	356.734288	HCO+ v=0	4 - 3
20210530	83	JCMTCAL	N7538IRS1	a20210530_00083_02_0001.sdf	N7538IRS1 HCO+(4-3) 356.73425 USB 5GHz	USB	2	1000MHzx2048	356.734288	HCO+ v=0	4 - 3
20210530	83	JCMTCAL	N7538IRS1	a20210530_00083_03_0001.sdf	N7538IRS1 HCO+(4-3) 356.73425 USB 5GHz	LSB	3	250MHzx8192	346.7362222975	No Line	No Line
20210530	83	JCMTCAL	N7538IRS1	a20210530_00083_04_0001.sdf	N7538IRS1 HCO+(4-3) 356.73425 USB 5GHz	LSB	4	1000MHzx2048	346.7362222975	No Line	No Line
20210530	84	JCMTCAL	N7538IRS1	a20210530_00084_01_0001.sdf	N7538IRS1 HCN(4-3) 354.5055 USB 5GHz	USB	1	250MHzx8192	354.5054759	HCN	4 - 3
20210530	84	JCMTCAL	N7538IRS1	a20210530_00084_02_0001.sdf	N7538IRS1 HCN(4-3) 354.5055 USB 5GHz	USB	2	1000MHzx2048	354.5054759	HCN	4 - 3
20210530	84	JCMTCAL	N7538IRS1	a20210530_00084_03_0001.sdf	N7538IRS1 HCN(4-3) 354.5055 USB 5GHz	LSB	3	250MHzx8192	344.5074101975	No Line	No Line
20210530	84	JCMTCAL	N7538IRS1	a20210530_00084_04_0001.sdf	N7538IRS1 HCN(4-3) 354.5055 USB 5GHz	LSB	4	1000MHzx2048	344.5074101975	No Line	No Line
20210530	85	JCMTCAL	N7538IRS1	a20210530_00085_01_0001.sdf	N7538IRS1 HCN(4-3) 354.5055 LSB 5GHz	LSB	1	250MHzx8192	354.5054759	HCN	4 - 3
20210530	85	JCMTCAL	N7538IRS1	a20210530_00085_02_0001.sdf	N7538IRS1 HCN(4-3) 354.5055 LSB 5GHz	LSB	2	1000MHzx2048	354.5054759	HCN	4 - 3
20210530	85	JCMTCAL	N7538IRS1	a20210530_00085_03_0001.sdf	N7538IRS1 HCN(4-3) 354.5055 LSB 5GHz	USB	3	250MHzx8192	364.5035416025	No Line	No Line
20210530	85	JCMTCAL	N7538IRS1	a20210530_00085_04_0001.sdf	N7538IRS1 HCN(4-3) 354.5055 LSB 5GHz	USB	4	1000MHzx2048	364.5035416025	No Line	No Line
20210530	86	JCMTCAL	N7538IRS1	a20210530_00086_01_0001.sdf	N7538IRS1 CS(7-6) 342.8833 USB 5GHz	USB	1	250MHzx8192	342.883	CS	7 - 6
20210530	86	JCMTCAL	N7538IRS1	a20210530_00086_02_0001.sdf	N7538IRS1 CS(7-6) 342.8833 USB 5GHz	USB	2	1000MHzx2048	342.883	CS	7 - 6
20210530	86	JCMTCAL	N7538IRS1	a20210530_00086_03_0001.sdf	N7538IRS1 CS(7-6) 342.8833 USB 5GHz	LSB	3	250MHzx8192	332.8849342975	No Line	No Line
20210530	86	JCMTCAL	N7538IRS1	a20210530_00086_04_0001.sdf	N7538IRS1 CS(7-6) 342.8833 USB 5GHz	LSB	4	1000MHzx2048	332.8849342975	No Line	No Line
20210530	87	JCMTCAL	N7538IRS1	a20210530_00087_01_0001.sdf	N7538IRS1 CS(7-6) 342.8833 LSB 5GHz	LSB	1	250MHzx8192	342.883	CS	7 - 6
20210530	87	JCMTCAL	N7538IRS1	a20210530_00087_02_0001.sdf	N7538IRS1 CS(7-6) 342.8833 LSB 5GHz	LSB	2	1000MHzx2048	342.883	CS	7 - 6
20210530	87	JCMTCAL	N7538IRS1	a20210530_00087_03_0001.sdf	N7538IRS1 CS(7-6) 342.8833 LSB 5GHz	USB	3	250MHzx8192	352.8810657025	No Line	No Line
20210530	87	JCMTCAL	N7538IRS1	a20210530_00087_04_0001.sdf	N7538IRS1 CS(7-6) 342.8833 LSB 5GHz	USB	4	1000MHzx2048	352.8810657025	No Line	No Line
20210530	89	JCMTCAL	N7538IRS1	a20210530_00089_01_0001.sdf	N7538IRS1 CH3OH(7-6) 338.4087 USB 5GHz	USB	1	250MHzx8192	338.408681	CH3OH	7 0 7 +0 - 6 0 6 +0
20210530	89	JCMTCAL	N7538IRS1	a20210530_00089_02_0001.sdf	N7538IRS1 CH3OH(7-6) 338.4087 USB 5GHz	USB	2	1000MHzx2048	338.408681	CH3OH	7 0 7 +0 - 6 0 6 +0
20210530	89	JCMTCAL	N7538IRS1	a20210530_00089_03_0001.sdf	N7538IRS1 CH3OH(7-6) 338.4087 USB 5GHz	LSB	3	250MHzx8192	328.4106152975	No Line	No Line
